1, 0.0, 69350, 69365
2, 44.0, 69342, 69365
3, 61.0, 69338, 69365
4, 66.0, 69335, 69365
5, 79.0, 69320, 69365
6, 70.0, 69336, 69365
7, 62.0, 69336, 69365
8, 76.0, 69324, 69365
9, 75.0, 69335, 69365
10, 68.0, 69334, 69365
11, 57.0, 69226, 69365
12, 81.0, 69334, 69365
13, 67.0, 69173, 69365
14, 79.0, 69329, 69365
15, 74.0, 69329, 69365
16, 112.0, 69310, 69365
17, 94.0, 69316, 69365
18, 89.0, 69328, 69365
19, 101.0, 69314, 69365
20, 84.0, 69326, 69365
21, 84.0, 69330, 69365
22, 52.0, 69101, 69365
23, 60.0, 69039, 69365
24, 101.0, 69325, 69365
25, 76.0, 69300, 69365
26, 50.0, 69094, 69365
27, 84.0, 69322, 69365
28, 105.0, 69316, 69365
29, 77.0, 69285, 69365
30, 95.0, 69321, 69365
31, 86.0, 69326, 69365
32, 136.0, 69300, 69365
33, 109.0, 69326, 69365
34, 83.0, 69327, 69365
35, 88.0, 69333, 69365
36, 120.0, 69314, 69365
37, 97.0, 69302, 69365
38, 103.0, 69315, 69365
39, 75.0, 69258, 69365
40, 105.0, 69320, 69365
41, 107.0, 69300, 69365
42, 92.0, 69317, 69365
43, 96.0, 69161, 69365
44, 70.0, 69154, 69365
45, 80.0, 69148, 69365
46, 58.0, 69197, 69365
47, 48.0, 68984, 69365
48, 112.0, 69329, 69365
49, 49.0, 68971, 69365
50, 94.0, 69272, 69365
51, 115.0, 69265, 69365
52, 73.0, 69209, 69365
53, 134.0, 69304, 69365
54, 83.0, 69328, 69365
55, 47.0, 68956, 69365
56, 112.0, 69313, 69365
57, 95.0, 69329, 69365
58, 92.0, 69276, 69365
59, 105.0, 69304, 69365
60, 132.0, 69309, 69365
